Task,Function
Hold object Spatula_1,PickupObject(Spatula_1)
Hold object Spatula_2,PickupObject(Spatula_2)
Hold object Spoon_0,PickupObject(Spoon_0)
Hold object Spoon_1,PickupObject(Spoon_1)
Hold object Spoon_2,PickupObject(Spoon_2)
Hold object SprayBottle_0,PickupObject(SprayBottle_0)
Hold object SprayBottle_1,PickupObject(SprayBottle_1)
Hold object SprayBottle_2,PickupObject(SprayBottle_2)
Hold object Statue_0,PickupObject(Statue_0)
Hold object Statue_1,PickupObject(Statue_1)
Hold object Statue_2,PickupObject(Statue_2)
Hold object TeddyBear_0,PickupObject(TeddyBear_0)
Hold object TeddyBear_1,PickupObject(TeddyBear_1)
Hold object TeddyBear_2,PickupObject(TeddyBear_2)
Hold object TennisRacket_0,PickupObject(TennisRacket_0)
Hold object TennisRacket_1,PickupObject(TennisRacket_1)
Hold object TennisRacket_2,PickupObject(TennisRacket_2)
Hold object TissueBox_0,PickupObject(TissueBox_0)
Hold object TissueBox_1,PickupObject(TissueBox_1)
Hold object TissueBox_2,PickupObject(TissueBox_2)
Hold object ToiletPaper_0,PickupObject(ToiletPaper_0)
Hold object ToiletPaper_1,PickupObject(ToiletPaper_1)
Hold object ToiletPaper_2,PickupObject(ToiletPaper_2)
Hold object Tomato_0,PickupObject(Tomato_0)
Hold object Tomato_1,PickupObject(Tomato_1)
Hold object Tomato_2,PickupObject(Tomato_2)
Hold object TomatoSliced_0,PickupObject(TomatoSliced_0)
Hold object TomatoSliced_1,PickupObject(TomatoSliced_1)
Hold object TomatoSliced_2,PickupObject(TomatoSliced_2)
Hold object Towel_0,PickupObject(Towel_0)
Hold object Towel_1,PickupObject(Towel_1)
Hold object Towel_2,PickupObject(Towel_2)
Hold object Vase_0,PickupObject(Vase_0)
Hold object Vase_1,PickupObject(Vase_1)
Hold object Vase_2,PickupObject(Vase_2)
Hold object Watch_0,PickupObject(Watch_0)
Hold object Watch_1,PickupObject(Watch_1)
Hold object Watch_2,PickupObject(Watch_2)
Hold object WateringCan_0,PickupObject(WateringCan_0)
Hold object WateringCan_1,PickupObject(WateringCan_1)
Hold object WateringCan_2,PickupObject(WateringCan_2)
Hold object WineBottle_0,PickupObject(WineBottle_0)
Hold object WineBottle_1,PickupObject(WineBottle_1)
Hold object WineBottle_2,PickupObject(WineBottle_2)
Take the object AlarmClock_0,PickupObject(AlarmClock_0)
Take the object AlarmClock_1,PickupObject(AlarmClock_1)
Take the object AlarmClock_2,PickupObject(AlarmClock_2)
Take the object Apple_0,PickupObject(Apple_0)
Take the object Apple_1,PickupObject(Apple_1)
Take the object Apple_2,PickupObject(Apple_2)
Take the object AppleSliced_0,PickupObject(AppleSliced_0)
Take the object AppleSliced_1,PickupObject(AppleSliced_1)
Take the object AppleSliced_2,PickupObject(AppleSliced_2)
Take the object BaseballBat_0,PickupObject(BaseballBat_0)
Take the object BaseballBat_1,PickupObject(BaseballBat_1)
Take the object BaseballBat_2,PickupObject(BaseballBat_2)
Take the object BasketBall_0,PickupObject(BasketBall_0)
Take the object BasketBall_1,PickupObject(BasketBall_1)
Take the object BasketBall_2,PickupObject(BasketBall_2)
Take the object Book_0,PickupObject(Book_0)
Take the object Book_1,PickupObject(Book_1)
Take the object Book_2,PickupObject(Book_2)
Take the object Boots_0,PickupObject(Boots_0)
Take the object Boots_1,PickupObject(Boots_1)
Take the object Boots_2,PickupObject(Boots_2)
Take the object Bottle_0,PickupObject(Bottle_0)
Take the object Bottle_1,PickupObject(Bottle_1)
Take the object Bottle_2,PickupObject(Bottle_2)
Take the object Bowl_0,PickupObject(Bowl_0)
Take the object Bowl_1,PickupObject(Bowl_1)
Take the object Bowl_2,PickupObject(Bowl_2)
Take the object Box_0,PickupObject(Box_0)
Take the object Box_1,PickupObject(Box_1)
Take the object Box_2,PickupObject(Box_2)
Take the object Bread_0,PickupObject(Bread_0)
Take the object Bread_1,PickupObject(Bread_1)
Take the object Bread_2,PickupObject(Bread_2)
Take the object BreadSliced_0,PickupObject(BreadSliced_0)
Take the object BreadSliced_1,PickupObject(BreadSliced_1)
Take the object BreadSliced_2,PickupObject(BreadSliced_2)
Take the object ButterKnife_0,PickupObject(ButterKnife_0)
Take the object ButterKnife_1,PickupObject(ButterKnife_1)
Take the object ButterKnife_2,PickupObject(ButterKnife_2)
Take the object Candle_0,PickupObject(Candle_0)
Take the object Candle_1,PickupObject(Candle_1)
Take the object Candle_2,PickupObject(Candle_2)
Take the object CD_0,PickupObject(CD_0)
Take the object CD_1,PickupObject(CD_1)
Take the object CD_2,PickupObject(CD_2)
Take the object CellPhone_0,PickupObject(CellPhone_0)
Take the object CellPhone_1,PickupObject(CellPhone_1)
Take the object CellPhone_2,PickupObject(CellPhone_2)
Take the object Cloth_0,PickupObject(Cloth_0)
Take the object Cloth_1,PickupObject(Cloth_1)
Take the object Cloth_2,PickupObject(Cloth_2)
Take the object CreditCard_0,PickupObject(CreditCard_0)
Take the object CreditCard_1,PickupObject(CreditCard_1)
Take the object CreditCard_2,PickupObject(CreditCard_2)
Take the object Cup_0,PickupObject(Cup_0)
Take the object Cup_1,PickupObject(Cup_1)
Take the object Cup_2,PickupObject(Cup_2)
Take the object DishSponge_0,PickupObject(DishSponge_0)
Take the object DishSponge_1,PickupObject(DishSponge_1)
Take the object DishSponge_2,PickupObject(DishSponge_2)
Take the object Egg_0,PickupObject(Egg_0)
Take the object Egg_1,PickupObject(Egg_1)
Take the object Egg_2,PickupObject(Egg_2)
Take the object EggCracked_0,PickupObject(EggCracked_0)
Take the object EggCracked_1,PickupObject(EggCracked_1)
Take the object EggCracked_2,PickupObject(EggCracked_2)
Take the object Fork_0,PickupObject(Fork_0)
Take the object Fork_1,PickupObject(Fork_1)
Take the object Fork_2,PickupObject(Fork_2)
Take the object HandTowel_0,PickupObject(HandTowel_0)
Take the object HandTowel_1,PickupObject(HandTowel_1)
Take the object HandTowel_2,PickupObject(HandTowel_2)
Take the object Kettle_0,PickupObject(Kettle_0)
Take the object Kettle_1,PickupObject(Kettle_1)
Take the object Kettle_2,PickupObject(Kettle_2)
Take the object KeyChain_0,PickupObject(KeyChain_0)
Take the object KeyChain_1,PickupObject(KeyChain_1)
Take the object KeyChain_2,PickupObject(KeyChain_2)
Take the object Knife_0,PickupObject(Knife_0)
Take the object Knife_1,PickupObject(Knife_1)
Take the object Knife_2,PickupObject(Knife_2)
Take the object Ladle_0,PickupObject(Ladle_0)
Take the object Ladle_1,PickupObject(Ladle_1)
Take the object Ladle_2,PickupObject(Ladle_2)
Take the object Laptop_0,PickupObject(Laptop_0)
Take the object Laptop_1,PickupObject(Laptop_1)
Take the object Laptop_2,PickupObject(Laptop_2)
Take the object Lettuce_0,PickupObject(Lettuce_0)
Take the object Lettuce_1,PickupObject(Lettuce_1)
Take the object Lettuce_2,PickupObject(Lettuce_2)
Take the object LettuceSliced_0,PickupObject(LettuceSliced_0)
Take the object LettuceSliced_1,PickupObject(LettuceSliced_1)
Take the object LettuceSliced_2,PickupObject(LettuceSliced_2)
Take the object Mug_0,PickupObject(Mug_0)
Take the object Mug_1,PickupObject(Mug_1)
Take the object Mug_2,PickupObject(Mug_2)
Take the object Newspaper_0,PickupObject(Newspaper_0)
Take the object Newspaper_1,PickupObject(Newspaper_1)
Take the object Newspaper_2,PickupObject(Newspaper_2)
Take the object Pan_0,PickupObject(Pan_0)
Take the object Pan_1,PickupObject(Pan_1)
Take the object Pan_2,PickupObject(Pan_2)
Take the object PaperTowel_0,PickupObject(PaperTowel_0)
Take the object PaperTowel_1,PickupObject(PaperTowel_1)
Take the object PaperTowel_2,PickupObject(PaperTowel_2)
Take the object Pen_0,PickupObject(Pen_0)
Take the object Pen_1,PickupObject(Pen_1)
Take the object Pen_2,PickupObject(Pen_2)
Take the object Pencil_0,PickupObject(Pencil_0)
Take the object Pencil_1,PickupObject(Pencil_1)
Take the object Pencil_2,PickupObject(Pencil_2)
Take the object PepperShaker_0,PickupObject(PepperShaker_0)
Take the object PepperShaker_1,PickupObject(PepperShaker_1)
Take the object PepperShaker_2,PickupObject(PepperShaker_2)
Take the object Pillow_0,PickupObject(Pillow_0)
Take the object Pillow_1,PickupObject(Pillow_1)
Take the object Pillow_2,PickupObject(Pillow_2)
Take the object Plate_0,PickupObject(Plate_0)
Take the object Plate_1,PickupObject(Plate_1)
Take the object Plate_2,PickupObject(Plate_2)
Take the object Plunger_0,PickupObject(Plunger_0)
Take the object Plunger_1,PickupObject(Plunger_1)
Take the object Plunger_2,PickupObject(Plunger_2)
Take the object Pot_0,PickupObject(Pot_0)
Take the object Pot_1,PickupObject(Pot_1)
Take the object Pot_2,PickupObject(Pot_2)
Take the object Potato_0,PickupObject(Potato_0)
Take the object Potato_1,PickupObject(Potato_1)
Take the object Potato_2,PickupObject(Potato_2)
Take the object PotatoSliced_0,PickupObject(PotatoSliced_0)
Take the object PotatoSliced_1,PickupObject(PotatoSliced_1)
Take the object PotatoSliced_2,PickupObject(PotatoSliced_2)
Take the object RemoteControl_0,PickupObject(RemoteControl_0)
Take the object RemoteControl_1,PickupObject(RemoteControl_1)
Take the object RemoteControl_2,PickupObject(RemoteControl_2)
Take the object SaltShaker_0,PickupObject(SaltShaker_0)
Take the object SaltShaker_1,PickupObject(SaltShaker_1)
Take the object SaltShaker_2,PickupObject(SaltShaker_2)
Take the object ScrubBrush_0,PickupObject(ScrubBrush_0)
Take the object ScrubBrush_1,PickupObject(ScrubBrush_1)
Take the object ScrubBrush_2,PickupObject(ScrubBrush_2)
Take the object SoapBar_0,PickupObject(SoapBar_0)
Take the object SoapBar_1,PickupObject(SoapBar_1)
Take the object SoapBar_2,PickupObject(SoapBar_2)
Take the object SoapBottle_0,PickupObject(SoapBottle_0)
Take the object SoapBottle_1,PickupObject(SoapBottle_1)
Take the object SoapBottle_2,PickupObject(SoapBottle_2)
Take the object Spatula_0,PickupObject(Spatula_0)
Take the object Spatula_1,PickupObject(Spatula_1)
Take the object Spatula_2,PickupObject(Spatula_2)
Take the object Spoon_0,PickupObject(Spoon_0)
Take the object Spoon_1,PickupObject(Spoon_1)
Take the object Spoon_2,PickupObject(Spoon_2)
Take the object SprayBottle_0,PickupObject(SprayBottle_0)
Take the object SprayBottle_1,PickupObject(SprayBottle_1)
Take the object SprayBottle_2,PickupObject(SprayBottle_2)
Take the object Statue_0,PickupObject(Statue_0)
Take the object Statue_1,PickupObject(Statue_1)
Take the object Statue_2,PickupObject(Statue_2)
Take the object TeddyBear_0,PickupObject(TeddyBear_0)
Take the object TeddyBear_1,PickupObject(TeddyBear_1)
Take the object TeddyBear_2,PickupObject(TeddyBear_2)
Take the object TennisRacket_0,PickupObject(TennisRacket_0)
Take the object TennisRacket_1,PickupObject(TennisRacket_1)
Take the object TennisRacket_2,PickupObject(TennisRacket_2)
Take the object TissueBox_0,PickupObject(TissueBox_0)
Take the object TissueBox_1,PickupObject(TissueBox_1)
Take the object TissueBox_2,PickupObject(TissueBox_2)
Take the object ToiletPaper_0,PickupObject(ToiletPaper_0)
Take the object ToiletPaper_1,PickupObject(ToiletPaper_1)
Take the object ToiletPaper_2,PickupObject(ToiletPaper_2)
Take the object Tomato_0,PickupObject(Tomato_0)
Take the object Tomato_1,PickupObject(Tomato_1)
Take the object Tomato_2,PickupObject(Tomato_2)
Take the object TomatoSliced_0,PickupObject(TomatoSliced_0)
Take the object TomatoSliced_1,PickupObject(TomatoSliced_1)
Take the object TomatoSliced_2,PickupObject(TomatoSliced_2)
Take the object Towel_0,PickupObject(Towel_0)
Take the object Towel_1,PickupObject(Towel_1)
Take the object Towel_2,PickupObject(Towel_2)
Take the object Vase_0,PickupObject(Vase_0)
Take the object Vase_1,PickupObject(Vase_1)
Take the object Vase_2,PickupObject(Vase_2)
Take the object Watch_0,PickupObject(Watch_0)
Take the object Watch_1,PickupObject(Watch_1)
Take the object Watch_2,PickupObject(Watch_2)
Take the object WateringCan_0,PickupObject(WateringCan_0)
Take the object WateringCan_1,PickupObject(WateringCan_1)
Take the object WateringCan_2,PickupObject(WateringCan_2)
Take the object WineBottle_0,PickupObject(WineBottle_0)
Take the object WineBottle_1,PickupObject(WineBottle_1)
Take the object WineBottle_2,PickupObject(WineBottle_2)
Collect the object AlarmClock_0,PickupObject(AlarmClock_0)
Collect the object AlarmClock_1,PickupObject(AlarmClock_1)
Collect the object AlarmClock_2,PickupObject(AlarmClock_2)
Collect the object Apple_0,PickupObject(Apple_0)
Collect the object Apple_1,PickupObject(Apple_1)
Collect the object Apple_2,PickupObject(Apple_2)
Collect the object AppleSliced_0,PickupObject(AppleSliced_0)
Collect the object AppleSliced_1,PickupObject(AppleSliced_1)
Collect the object AppleSliced_2,PickupObject(AppleSliced_2)
Collect the object BaseballBat_0,PickupObject(BaseballBat_0)
Collect the object BaseballBat_1,PickupObject(BaseballBat_1)
Collect the object BaseballBat_2,PickupObject(BaseballBat_2)
Collect the object BasketBall_0,PickupObject(BasketBall_0)
Collect the object BasketBall_1,PickupObject(BasketBall_1)
Collect the object BasketBall_2,PickupObject(BasketBall_2)
Collect the object Book_0,PickupObject(Book_0)
Collect the object Book_1,PickupObject(Book_1)
Collect the object Book_2,PickupObject(Book_2)
Collect the object Boots_0,PickupObject(Boots_0)
Collect the object Boots_1,PickupObject(Boots_1)
Collect the object Boots_2,PickupObject(Boots_2)
Collect the object Bottle_0,PickupObject(Bottle_0)
Collect the object Bottle_1,PickupObject(Bottle_1)
Collect the object Bottle_2,PickupObject(Bottle_2)
Collect the object Bowl_0,PickupObject(Bowl_0)
Collect the object Bowl_1,PickupObject(Bowl_1)
Collect the object Bowl_2,PickupObject(Bowl_2)
Collect the object Box_0,PickupObject(Box_0)
Collect the object Box_1,PickupObject(Box_1)
Collect the object Box_2,PickupObject(Box_2)
Collect the object Bread_0,PickupObject(Bread_0)
Collect the object Bread_1,PickupObject(Bread_1)
Collect the object Bread_2,PickupObject(Bread_2)
Collect the object BreadSliced_0,PickupObject(BreadSliced_0)
Collect the object BreadSliced_1,PickupObject(BreadSliced_1)
Collect the object BreadSliced_2,PickupObject(BreadSliced_2)
Collect the object ButterKnife_0,PickupObject(ButterKnife_0)
Collect the object ButterKnife_1,PickupObject(ButterKnife_1)
Collect the object ButterKnife_2,PickupObject(ButterKnife_2)
Collect the object Candle_0,PickupObject(Candle_0)
Collect the object Candle_1,PickupObject(Candle_1)
Collect the object Candle_2,PickupObject(Candle_2)
Collect the object CD_0,PickupObject(CD_0)
Collect the object CD_1,PickupObject(CD_1)
Collect the object CD_2,PickupObject(CD_2)
Collect the object CellPhone_0,PickupObject(CellPhone_0)
Collect the object CellPhone_1,PickupObject(CellPhone_1)
Collect the object CellPhone_2,PickupObject(CellPhone_2)
Collect the object Cloth_0,PickupObject(Cloth_0)
Collect the object Cloth_1,PickupObject(Cloth_1)
Collect the object Cloth_2,PickupObject(Cloth_2)
Collect the object CreditCard_0,PickupObject(CreditCard_0)
Collect the object CreditCard_1,PickupObject(CreditCard_1)
Collect the object CreditCard_2,PickupObject(CreditCard_2)
Collect the object Cup_0,PickupObject(Cup_0)
Collect the object Cup_1,PickupObject(Cup_1)
Collect the object Cup_2,PickupObject(Cup_2)
Collect the object DishSponge_0,PickupObject(DishSponge_0)
Collect the object DishSponge_1,PickupObject(DishSponge_1)
Collect the object DishSponge_2,PickupObject(DishSponge_2)
Collect the object Egg_0,PickupObject(Egg_0)
Collect the object Egg_1,PickupObject(Egg_1)
Collect the object Egg_2,PickupObject(Egg_2)
Collect the object EggCracked_0,PickupObject(EggCracked_0)
Collect the object EggCracked_1,PickupObject(EggCracked_1)
Collect the object EggCracked_2,PickupObject(EggCracked_2)
Collect the object Fork_0,PickupObject(Fork_0)
Collect the object Fork_1,PickupObject(Fork_1)
Collect the object Fork_2,PickupObject(Fork_2)
Collect the object HandTowel_0,PickupObject(HandTowel_0)
Collect the object HandTowel_1,PickupObject(HandTowel_1)
Collect the object HandTowel_2,PickupObject(HandTowel_2)
Collect the object Kettle_0,PickupObject(Kettle_0)
Collect the object Kettle_1,PickupObject(Kettle_1)
Collect the object Kettle_2,PickupObject(Kettle_2)
Collect the object KeyChain_0,PickupObject(KeyChain_0)
Collect the object KeyChain_1,PickupObject(KeyChain_1)
Collect the object KeyChain_2,PickupObject(KeyChain_2)
Collect the object Knife_0,PickupObject(Knife_0)
Collect the object Knife_1,PickupObject(Knife_1)
Collect the object Knife_2,PickupObject(Knife_2)
Collect the object Ladle_0,PickupObject(Ladle_0)
Collect the object Ladle_1,PickupObject(Ladle_1)
Collect the object Ladle_2,PickupObject(Ladle_2)
Collect the object Laptop_0,PickupObject(Laptop_0)
Collect the object Laptop_1,PickupObject(Laptop_1)
Collect the object Laptop_2,PickupObject(Laptop_2)
Collect the object Lettuce_0,PickupObject(Lettuce_0)
Collect the object Lettuce_1,PickupObject(Lettuce_1)
Collect the object Lettuce_2,PickupObject(Lettuce_2)
Collect the object LettuceSliced_0,PickupObject(LettuceSliced_0)
Collect the object LettuceSliced_1,PickupObject(LettuceSliced_1)
Collect the object LettuceSliced_2,PickupObject(LettuceSliced_2)
Collect the object Mug_0,PickupObject(Mug_0)
Collect the object Mug_1,PickupObject(Mug_1)
Collect the object Mug_2,PickupObject(Mug_2)
Collect the object Newspaper_0,PickupObject(Newspaper_0)
Collect the object Newspaper_1,PickupObject(Newspaper_1)
Collect the object Newspaper_2,PickupObject(Newspaper_2)
Collect the object Pan_0,PickupObject(Pan_0)
Collect the object Pan_1,PickupObject(Pan_1)
Collect the object Pan_2,PickupObject(Pan_2)
Collect the object PaperTowel_0,PickupObject(PaperTowel_0)
Collect the object PaperTowel_1,PickupObject(PaperTowel_1)
Collect the object PaperTowel_2,PickupObject(PaperTowel_2)
Collect the object Pen_0,PickupObject(Pen_0)
Collect the object Pen_1,PickupObject(Pen_1)
Collect the object Pen_2,PickupObject(Pen_2)
Collect the object Pencil_0,PickupObject(Pencil_0)
Collect the object Pencil_1,PickupObject(Pencil_1)
Collect the object Pencil_2,PickupObject(Pencil_2)
Collect the object PepperShaker_0,PickupObject(PepperShaker_0)
Collect the object PepperShaker_1,PickupObject(PepperShaker_1)
Collect the object PepperShaker_2,PickupObject(PepperShaker_2)
Collect the object Pillow_0,PickupObject(Pillow_0)
Collect the object Pillow_1,PickupObject(Pillow_1)
Collect the object Pillow_2,PickupObject(Pillow_2)
Collect the object Plate_0,PickupObject(Plate_0)
Collect the object Plate_1,PickupObject(Plate_1)
Collect the object Plate_2,PickupObject(Plate_2)
Collect the object Plunger_0,PickupObject(Plunger_0)
Collect the object Plunger_1,PickupObject(Plunger_1)
Collect the object Plunger_2,PickupObject(Plunger_2)
Collect the object Pot_0,PickupObject(Pot_0)
Collect the object Pot_1,PickupObject(Pot_1)
Collect the object Pot_2,PickupObject(Pot_2)
Collect the object Potato_0,PickupObject(Potato_0)
Collect the object Potato_1,PickupObject(Potato_1)
Collect the object Potato_2,PickupObject(Potato_2)
Collect the object PotatoSliced_0,PickupObject(PotatoSliced_0)
Collect the object PotatoSliced_1,PickupObject(PotatoSliced_1)
Collect the object PotatoSliced_2,PickupObject(PotatoSliced_2)
Collect the object RemoteControl_0,PickupObject(RemoteControl_0)
Collect the object RemoteControl_1,PickupObject(RemoteControl_1)
Collect the object RemoteControl_2,PickupObject(RemoteControl_2)
Collect the object SaltShaker_0,PickupObject(SaltShaker_0)
Collect the object SaltShaker_1,PickupObject(SaltShaker_1)
Collect the object SaltShaker_2,PickupObject(SaltShaker_2)
Collect the object ScrubBrush_0,PickupObject(ScrubBrush_0)
Collect the object ScrubBrush_1,PickupObject(ScrubBrush_1)
Collect the object ScrubBrush_2,PickupObject(ScrubBrush_2)
Collect the object SoapBar_0,PickupObject(SoapBar_0)
Collect the object SoapBar_1,PickupObject(SoapBar_1)
Collect the object SoapBar_2,PickupObject(SoapBar_2)
Collect the object SoapBottle_0,PickupObject(SoapBottle_0)
Collect the object SoapBottle_1,PickupObject(SoapBottle_1)
Collect the object SoapBottle_2,PickupObject(SoapBottle_2)
Collect the object Spatula_0,PickupObject(Spatula_0)
Collect the object Spatula_1,PickupObject(Spatula_1)
Collect the object Spatula_2,PickupObject(Spatula_2)
Collect the object Spoon_0,PickupObject(Spoon_0)
Collect the object Spoon_1,PickupObject(Spoon_1)
Collect the object Spoon_2,PickupObject(Spoon_2)
Collect the object SprayBottle_0,PickupObject(SprayBottle_0)
Collect the object SprayBottle_1,PickupObject(SprayBottle_1)
Collect the object SprayBottle_2,PickupObject(SprayBottle_2)
Collect the object Statue_0,PickupObject(Statue_0)
Collect the object Statue_1,PickupObject(Statue_1)
Collect the object Statue_2,PickupObject(Statue_2)
Collect the object TeddyBear_0,PickupObject(TeddyBear_0)
Collect the object TeddyBear_1,PickupObject(TeddyBear_1)
Collect the object TeddyBear_2,PickupObject(TeddyBear_2)
Collect the object TennisRacket_0,PickupObject(TennisRacket_0)
Collect the object TennisRacket_1,PickupObject(TennisRacket_1)
Collect the object TennisRacket_2,PickupObject(TennisRacket_2)
Collect the object TissueBox_0,PickupObject(TissueBox_0)
Collect the object TissueBox_1,PickupObject(TissueBox_1)
Collect the object TissueBox_2,PickupObject(TissueBox_2)
Collect the object ToiletPaper_0,PickupObject(ToiletPaper_0)
Collect the object ToiletPaper_1,PickupObject(ToiletPaper_1)
Collect the object ToiletPaper_2,PickupObject(ToiletPaper_2)
Collect the object Tomato_0,PickupObject(Tomato_0)
Collect the object Tomato_1,PickupObject(Tomato_1)
Collect the object Tomato_2,PickupObject(Tomato_2)
Collect the object TomatoSliced_0,PickupObject(TomatoSliced_0)
Collect the object TomatoSliced_1,PickupObject(TomatoSliced_1)
Collect the object TomatoSliced_2,PickupObject(TomatoSliced_2)
Collect the object Towel_0,PickupObject(Towel_0)
Collect the object Towel_1,PickupObject(Towel_1)
Collect the object Towel_2,PickupObject(Towel_2)
Collect the object Vase_0,PickupObject(Vase_0)
Collect the object Vase_1,PickupObject(Vase_1)
Collect the object Vase_2,PickupObject(Vase_2)
Collect the object Watch_0,PickupObject(Watch_0)
Collect the object Watch_1,PickupObject(Watch_1)
Collect the object Watch_2,PickupObject(Watch_2)
Collect the object WateringCan_0,PickupObject(WateringCan_0)
Collect the object WateringCan_1,PickupObject(WateringCan_1)
Collect the object WateringCan_2,PickupObject(WateringCan_2)
Collect the object WineBottle_0,PickupObject(WineBottle_0)
Collect the object WineBottle_1,PickupObject(WineBottle_1)
Collect the object WineBottle_2,PickupObject(WineBottle_2)
Retrieve the item AlarmClock_0,PickupObject(AlarmClock_0)
Retrieve the item AlarmClock_1,PickupObject(AlarmClock_1)
Retrieve the item AlarmClock_2,PickupObject(AlarmClock_2)
Retrieve the item Apple_0,PickupObject(Apple_0)
Retrieve the item Apple_1,PickupObject(Apple_1)
Retrieve the item Apple_2,PickupObject(Apple_2)
Retrieve the item AppleSliced_0,PickupObject(AppleSliced_0)
Retrieve the item AppleSliced_1,PickupObject(AppleSliced_1)
Retrieve the item AppleSliced_2,PickupObject(AppleSliced_2)
Retrieve the item BaseballBat_0,PickupObject(BaseballBat_0)
Retrieve the item BaseballBat_1,PickupObject(BaseballBat_1)
Retrieve the item BaseballBat_2,PickupObject(BaseballBat_2)
Retrieve the item BasketBall_0,PickupObject(BasketBall_0)
Retrieve the item BasketBall_1,PickupObject(BasketBall_1)
Retrieve the item BasketBall_2,PickupObject(BasketBall_2)
Retrieve the item Book_0,PickupObject(Book_0)
Retrieve the item Book_1,PickupObject(Book_1)
Retrieve the item Book_2,PickupObject(Book_2)
Retrieve the item Boots_0,PickupObject(Boots_0)
Retrieve the item Boots_1,PickupObject(Boots_1)
Retrieve the item Boots_2,PickupObject(Boots_2)
Retrieve the item Bottle_0,PickupObject(Bottle_0)
Retrieve the item Bottle_1,PickupObject(Bottle_1)
Retrieve the item Bottle_2,PickupObject(Bottle_2)
Retrieve the item Bowl_0,PickupObject(Bowl_0)
Retrieve the item Bowl_1,PickupObject(Bowl_1)
Retrieve the item Bowl_2,PickupObject(Bowl_2)
Retrieve the item Box_0,PickupObject(Box_0)
Retrieve the item Box_1,PickupObject(Box_1)
Retrieve the item Box_2,PickupObject(Box_2)
Retrieve the item Bread_0,PickupObject(Bread_0)
Retrieve the item Bread_1,PickupObject(Bread_1)
Retrieve the item Bread_2,PickupObject(Bread_2)
Retrieve the item BreadSliced_0,PickupObject(BreadSliced_0)
Retrieve the item BreadSliced_1,PickupObject(BreadSliced_1)
Retrieve the item BreadSliced_2,PickupObject(BreadSliced_2)
Retrieve the item ButterKnife_0,PickupObject(ButterKnife_0)
Retrieve the item ButterKnife_1,PickupObject(ButterKnife_1)
Retrieve the item ButterKnife_2,PickupObject(ButterKnife_2)
Retrieve the item Candle_0,PickupObject(Candle_0)
Retrieve the item Candle_1,PickupObject(Candle_1)
Retrieve the item Candle_2,PickupObject(Candle_2)
Retrieve the item CD_0,PickupObject(CD_0)
Retrieve the item CD_1,PickupObject(CD_1)
Retrieve the item CD_2,PickupObject(CD_2)
Retrieve the item CellPhone_0,PickupObject(CellPhone_0)
Retrieve the item CellPhone_1,PickupObject(CellPhone_1)
Retrieve the item CellPhone_2,PickupObject(CellPhone_2)
Retrieve the item Cloth_0,PickupObject(Cloth_0)
Retrieve the item Cloth_1,PickupObject(Cloth_1)
Retrieve the item Cloth_2,PickupObject(Cloth_2)
Retrieve the item CreditCard_0,PickupObject(CreditCard_0)
Retrieve the item CreditCard_1,PickupObject(CreditCard_1)
Retrieve the item CreditCard_2,PickupObject(CreditCard_2)
Retrieve the item Cup_0,PickupObject(Cup_0)
Retrieve the item Cup_1,PickupObject(Cup_1)
Retrieve the item Cup_2,PickupObject(Cup_2)
Retrieve the item DishSponge_0,PickupObject(DishSponge_0)
Retrieve the item DishSponge_1,PickupObject(DishSponge_1)
Retrieve the item DishSponge_2,PickupObject(DishSponge_2)
Retrieve the item Egg_0,PickupObject(Egg_0)
Retrieve the item Egg_1,PickupObject(Egg_1)
Retrieve the item Egg_2,PickupObject(Egg_2)
Retrieve the item EggCracked_0,PickupObject(EggCracked_0)
Retrieve the item EggCracked_1,PickupObject(EggCracked_1)
Retrieve the item EggCracked_2,PickupObject(EggCracked_2)
Retrieve the item Fork_0,PickupObject(Fork_0)
Retrieve the item Fork_1,PickupObject(Fork_1)
Retrieve the item Fork_2,PickupObject(Fork_2)
Retrieve the item HandTowel_0,PickupObject(HandTowel_0)
Retrieve the item HandTowel_1,PickupObject(HandTowel_1)
Retrieve the item HandTowel_2,PickupObject(HandTowel_2)
Retrieve the item Kettle_0,PickupObject(Kettle_0)
Retrieve the item Kettle_1,PickupObject(Kettle_1)
Retrieve the item Kettle_2,PickupObject(Kettle_2)
Retrieve the item KeyChain_0,PickupObject(KeyChain_0)
Retrieve the item KeyChain_1,PickupObject(KeyChain_1)
Retrieve the item KeyChain_2,PickupObject(KeyChain_2)
Retrieve the item Knife_0,PickupObject(Knife_0)
Retrieve the item Knife_1,PickupObject(Knife_1)
Retrieve the item Knife_2,PickupObject(Knife_2)
Retrieve the item Ladle_0,PickupObject(Ladle_0)
Retrieve the item Ladle_1,PickupObject(Ladle_1)
Retrieve the item Ladle_2,PickupObject(Ladle_2)
Retrieve the item Laptop_0,PickupObject(Laptop_0)
Retrieve the item Laptop_1,PickupObject(Laptop_1)
Retrieve the item Laptop_2,PickupObject(Laptop_2)
Retrieve the item Lettuce_0,PickupObject(Lettuce_0)
Retrieve the item Lettuce_1,PickupObject(Lettuce_1)
Retrieve the item Lettuce_2,PickupObject(Lettuce_2)
Retrieve the item LettuceSliced_0,PickupObject(LettuceSliced_0)
Retrieve the item LettuceSliced_1,PickupObject(LettuceSliced_1)
Retrieve the item LettuceSliced_2,PickupObject(LettuceSliced_2)
Retrieve the item Mug_0,PickupObject(Mug_0)
